duration,src_bytes,dst_bytes,count,srv_count,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,dst_host_count,protocol_type,service,flag,attack_type
0.9385361799537182,4253.09402046379,5.936071844551643,8,2,0.023823587892791816,0.01879498887488163,0.6665847746664961,0.40765059619925403,17,udp,ftp,SF,probe
6.020242861835042,206.29584567611357,314.4054145047299,8,5,0.040816040172201036,0.027628064072933948,0.8461299281853009,0.4238072470423615,27,tcp,smtp,S0,normal
2.6334913870908987,6376.634325862335,4.418670583599187,7,3,0.01882213652570576,0.02187312144585197,0.44487909528079334,0.2121221043328283,24,tcp,telnet,S0,normal
1.8258851075519065,10108.899875031824,3944.8566325821034,7,4,0.1767222105219626,0.10294077465230758,0.7169277222094549,0.4524797715020355,15,udp,ssh,S0,normal
0.33924974092469257,9132.373398789321,516.6260260036038,12,5,0.0053785900569335065,0.06349951817086896,0.8453414935398864,0.27237032481382745,23,tcp,telnet,S0,normal
0.33919258382921036,25888.689439006805,5.090344457262493,7,4,0.13327389878245044,0.021454863610296585,0.5043088218439049,0.7204168228862637,23,udp,telnet,SF,normal
0.11967753721736135,15801.249672725147,159.55245966188755,6,5,0.0528863987029378,0.1526108684933179,0.7532781812579389,0.3492482757662628,20,tcp,smtp,S0,probe
4.022461728959879,7467.8331204075785,42.246891757548106,14,4,0.20594132525052858,0.0035754712173522536,0.6194300085058081,0.35567276356285876,18,tcp,http,SF,u2r
1.838164307254529,2590.6616284815946,1051.0274949196373,5,4,0.3499688266053575,0.0024717023590091905,0.5739775392151918,0.2921167259750697,20,tcp,telnet,SF,normal
2.4625001234091806,107.5631517227595,22501.816945588813,8,4,0.01800639586521801,0.057233712508535595,0.8842055573878399,0.39496739921352986,24,tcp,http,RSTR,normal
0.041598615998277244,7039.105900137513,1.4542387837824307,13,4,0.013643858455391258,0.04704010245349878,0.9361119734771144,0.27745836815756053,21,udp,http,SF,normal
7.007114950316624,4515.970416036823,569.6819584312583,11,7,0.1126303545831574,0.032021448492595826,0.8600851981550051,0.23368911999661887,19,icmp,smtp,S0,normal
3.57285908670935,5131.522482715744,249.53560571844605,6,8,0.1457979544567364,0.018186156170965546,0.7359361648034441,0.17764674011798307,22,tcp,telnet,SF,normal
0.477375250497894,231.94559697243093,3023.0460544617804,8,7,0.018909963468792645,0.039276501077182786,0.4565873375150872,0.07801773380950387,20,tcp,smtp,SF,normal
0.4013579774993267,343.0536741011526,764.7812802010532,5,3,0.1090271138634912,0.0013167304260432889,0.7904993640926473,0.09709012086255549,21,tcp,smtp,SF,r2l
0.4052228456645141,24496.994282647534,42.270608278335374,8,6,0.07687932409279669,0.06795501759174781,0.9664136963923666,0.540374736318205,20,udp,ssh,SF,u2r
0.7255074589209543,2754.2203646126386,154.90905348449272,10,6,0.16970575865381346,0.020682725696639103,0.7044896403039277,0.3498660247542385,16,tcp,smtp,SF,normal
1.487855661721709,11649.300272518347,37.03718580073301,11,4,0.006580259170511098,0.049287455142053564,0.7149710339023563,0.1706174171083791,27,udp,ssh,SF,normal
1.1310741335606733,3154.66236140392,10178.382788007357,8,6,0.011038414389173488,0.12843689611433848,0.4841952544250599,0.6035958853700713,22,tcp,http,REJ,normal
0.688445985107883,3163.74673226605,430.06439187194695,15,9,0.04256167369333368,0.005577637987820021,0.3099945418759822,0.41906448547688024,24,udp,http,SF,normal
1.8927417477995974,19468.78342752456,121003.17419593103,7,6,0.07971562960340524,0.07194248802226558,0.7924565145103525,0.46833159530210716,15,tcp,ftp,SF,r2l
0.30046905745467734,1062.0014249536528,336.30468799074873,12,4,0.037371972460530645,0.07176069621977503,0.939988837210067,0.16129762515905016,21,tcp,ftp,REJ,normal
0.6910310240048045,3612.811488457174,48.172084776550456,10,6,0.13040454280619604,0.07703412046083453,0.6148470599896984,0.34595524148997503,19,tcp,http,RSTR,normal
0.9125544364416941,1182.5748572489654,4.301039863400746,9,7,0.06380806794505205,0.019067224341700356,0.823258636521678,0.30349506153738404,17,udp,telnet,SF,dos
1.21786937571955,1250.1359009358682,1.8050367852772446,9,4,0.009588253274853917,0.025677870135254556,0.7116084879846339,0.2606640074296663,16,udp,ftp,REJ,normal
3.075872022061824,1606.247115850915,3.481948918172586,9,3,0.057814080345285485,0.0020472949038337625,0.7646391612498311,0.18990026371883406,26,tcp,smtp,SF,normal
