timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packet_size,connection_count,bytes_sent,bytes_received,duration,flags,packets_per_second,unique_ports_accessed,time_since_last_packet,failed_connections,syn_flag_ratio,fin_flag_ratio,rst_flag_ratio,payload_entropy,inter_arrival_time,bytes_per_second,connection_duration,label
2025-08-21 17:59:50.209187,192.168.1.158,10.0.0.28,58005,993,1,1387.7337740686553,1,1643.1563729820573,2026.2009715798904,29.7033047825288,16,10.365651040929004,1,0.09463415862252908,0,0.2776674675830871,0.11937917029211265,0.06071089509518566,0.7903280211698334,0.08917201852802392,771.2458545546853,54.365727925599344,normal
2025-08-21 17:24:30.198495,192.168.1.85,10.0.0.95,40447,8080,6,1721.1090446295755,5,1211.2087234434825,1463.082212145961,38.33983410809094,16,11.00528279022494,1,0.05687930922976278,0,0.12154108531143165,0.24339182688380936,0.02767675021380818,0.7498727800670559,0.09972170493564188,1080.8518236578902,59.09690831782061,normal
2025-08-21 17:50:50.222743,10.221.55.34,192.168.1.211,33740,22,6,347.4317674442236,614,477.6569239549221,210.0636126344517,53.033131730788746,16,183.95465786884287,1,0.005096528156291409,166,0.7200033208155163,0.1567324495871157,0.48397483460294255,0.6032771840251345,0.003626639906160368,1834.9381519198473,36.66322199305662,connection_flood
2025-08-21 17:21:48.198495,192.168.1.170,10.0.0.205,9055,80,6,1212.8766711170294,2,1774.6245742103094,1522.0456536868487,34.753035226580835,2,11.71369916089479,1,0.12858753912102272,0,0.1661590855777968,0.16956662112193352,0.03631522850810065,0.5071290318004701,0.1183772429336277,666.8401288112047,47.926717636888014,normal
2025-08-21 17:59:58.205542,192.168.1.238,10.0.0.221,13008,53,17,812.3971186723725,3,1422.1904714174752,1437.049451878268,25.021656173154778,24,8.170103450178406,3,0.14472175299836817,0,0.15715674986344674,0.27349935827676497,0.05306672650341601,0.6881283578148182,0.11569721076506242,1212.7473472613367,48.00233905127086,normal
2025-08-21 17:23:36.193358,192.168.1.125,10.0.0.201,17313,143,1,1180.835245180969,4,2087.4805845534215,1826.0558420575792,28.48065304308685,16,7.754796764442213,2,-0.007968786617427726,0,0.2920530685939542,0.15353867775391677,0.000693142832312188,0.6036865257649103,0.07984682442805328,467.37419749716184,43.766635396179936,normal
2025-08-21 17:26:08.195416,192.168.1.141,10.0.0.64,25852,53,6,952.5597199284458,2,2094.7278461907576,1536.2794695047446,27.172984664388334,16,14.376746369539426,3,0.1101277621560004,0,0.29804952716768174,0.1312568388055887,0.07034812680416885,0.6238199475520751,0.135326511537756,703.4692114923325,65.82305820821554,normal
2025-08-21 17:10:37.205542,192.168.1.122,10.0.0.199,58873,110,1,1516.181562783529,5,2629.5543440541114,2073.0377243008306,26.097508438328312,2,14.45892479164079,3,0.03571953518932862,0,0.18338016194199466,0.28412080563896314,0.08419907449403705,0.7797198940240411,0.08876002485280048,1389.9247914023229,65.49806446217215,normal
2025-08-21 17:28:01.206542,192.168.1.230,10.0.0.139,26787,143,1,1183.997814984076,5,1467.2557684877304,2078.6650160251424,6.838841455256247,24,10.107875378553707,2,0.12475662939097171,0,0.23612036531972402,0.13747016217467162,0.04348201777582941,0.7055616206801147,0.09979356324127447,1088.6616702399376,67.02896601329935,normal
2025-08-21 17:11:05.198495,192.168.1.18,10.0.0.158,1560,25,6,1497.756329900927,4,1815.5312598509402,1896.2647552291585,27.982961733718955,24,8.210182855744367,2,0.15234065320914414,0,0.1066525537455516,0.21428502385867215,0.05771935610039576,0.6417560815945489,0.07222241809758376,1250.130930802297,55.85152718580255,normal
2025-08-21 17:52:54.192326,192.168.1.59,10.0.0.68,51070,143,1,1510.089820939636,2,1828.527790925293,2330.715397411833,29.25007114481152,24,4.413695110276621,1,0.15398256609775676,0,0.2035631616920568,0.12974057453582075,0.05351387509902832,0.5623105434912834,0.12246046771300971,1164.7246921385247,65.98443743599888,normal
2025-08-21 17:38:04.204438,192.168.1.114,10.0.0.89,28286,993,6,1564.7882642406935,4,2058.5275688996553,2604.592655089722,33.885980680582726,2,11.737946962881946,1,0.17912693034121574,0,0.19933396099847175,0.2449837486820104,0.028181425853133504,0.5812359821059211,0.12285895631618207,984.4812650708539,52.26595681633385,normal
2025-08-21 17:58:37.188248,192.168.1.253,10.0.0.64,13520,80,1,1513.1765379241983,4,1993.5980436502225,2265.7246643657973,37.67880762303385,16,8.30713265699097,3,0.1004018194202999,0,0.26072745412657106,0.20540102537373178,0.011488036624554354,0.7586074349735649,0.10760127414090166,1078.6396011760003,40.69980750856716,normal
